ULJ2 KS 20150101120030.328 1  71.5000 1
UJN  KS 20150101120030.707 1  73.3000 1
YOD  KS 20150101120031.148 1  76.6000 1
IMWB KS 20150101120032.754 1  90.5000 1
PHA2 KS 20150101120034.828 1 100.3000 1
ULLB KS 20150101120034.777 1 104.0000 1
HAK  KG 20150101120036.816 1 115.2000 1
CHY  KS 20150101120036.273 1 115.7000 1
TBA  KS 20150101120036.977 1 116.7000 1
ADO2 KS 20150101120037.105 1 119.9000 1
CHS  KG 20150101120037.730 1 121.0000 1
TOH  KS 20150101120038.238 1 123.7000 1
GWL  KS 20150101120038.672 1 130.6000 1
SND  KG 20150101120039.492 1 131.1000 1
DKJ  KG 20150101120040.121 1 136.2000 1
HDB  KG 20150101120039.957 1 138.5000 1
OKEB KS 20150101120040.727 1 141.5000 1
EUS  KS 20150101120040.934 1 143.9000 1
YOC  KS 20150101120040.621 1 144.5000 1
JSB  KG 20150101120041.023 1 146.4000 1
